Id,Subject Focus,Eyes,Face,Near,Action,Accessory,Group,Collage,Human,Occlusion,Info,Blur,Pawpularity
0007de18844b0dbbb5e1f607da0606e0,0,1,1,1,0,0,1,0,0,0,0,0,0.63
0007de18844b0dbbb5e1f607da0606e0_aug0,0,1,1,1,0,0,1,0,0,0,0,0,0.63
0007de18844b0dbbb5e1f607da0606e0_aug1,0,1,1,1,0,0,1,0,0,0,0,0,0.63
0007de18844b0dbbb5e1f607da0606e0_aug2,0,1,1,1,0,0,1,0,0,0,0,0,0.63
0007de18844b0dbbb5e1f607da0606e0_aug3,0,1,1,1,0,0,1,0,0,0,0,0,0.63
0007de18844b0dbbb5e1f607da0606e0_aug4,0,1,1,1,0,0,1,0,0,0,0,0,0.63
0009c66b9439883ba2750fb825e1d7db,0,1,1,0,0,0,0,0,0,0,0,0,0.42
0009c66b9439883ba2750fb825e1d7db_aug0,0,1,1,0,0,0,0,0,0,0,0,0,0.42
0009c66b9439883ba2750fb825e1d7db_aug1,0,1,1,0,0,0,0,0,0,0,0,0,0.42
0009c66b9439883ba2750fb825e1d7db_aug2,0,1,1,0,0,0,0,0,0,0,0,0,0.42
0009c66b9439883ba2750fb825e1d7db_aug3,0,1,1,0,0,0,0,0,0,0,0,0,0.42
0009c66b9439883ba2750fb825e1d7db_aug4,0,1,1,0,0,0,0,0,0,0,0,0,0.42
0013fd999caf9a3efe1352ca1b0d937e,0,1,1,1,0,0,0,0,1,1,0,0,0.28
0013fd999caf9a3efe1352ca1b0d937e_aug0,0,1,1,1,0,0,0,0,1,1,0,0,0.28
0013fd999caf9a3efe1352ca1b0d937e_aug1,0,1,1,1,0,0,0,0,1,1,0,0,0.28
0013fd999caf9a3efe1352ca1b0d937e_aug2,0,1,1,1,0,0,0,0,1,1,0,0,0.28
0013fd999caf9a3efe1352ca1b0d937e_aug3,0,1,1,1,0,0,0,0,1,1,0,0,0.28
0013fd999caf9a3efe1352ca1b0d937e_aug4,0,1,1,1,0,0,0,0,1,1,0,0,0.28
0018df346ac9c1d8413cfcc888ca8246,0,1,1,1,0,0,0,0,0,0,0,0,0.15
0018df346ac9c1d8413cfcc888ca8246_aug0,0,1,1,1,0,0,0,0,0,0,0,0,0.15
0018df346ac9c1d8413cfcc888ca8246_aug1,0,1,1,1,0,0,0,0,0,0,0,0,0.15
